,P&R Ball Handler,Spot-Up,Transition,ISO,Post-Up,P&R Roll Man,Cut,Offensive Rebound,Off Screen,Hand Off,Total
Siddhant Sanjay Shinde,2,2,4,1,0,0,0,1,0,1,11
Prasanna Venkatesh Sivakumar,0,2,3,1,0,0,1,1,0,1,9
Jasmon Youngblood,52,18,11,19,1,0,1,6,5,0,113
Seonggon Moon,1,14,7,0,0,0,1,2,7,1,33
Jean Abd El Nour,1,4,3,0,2,0,1,2,0,0,13
Wei Liu,27,12,9,0,0,0,1,2,0,1,52
Saad Abdulrahman Ali,24,23,6,3,4,0,2,5,1,1,69
Hamed Afagh,11,60,30,2,0,0,9,15,21,0,148
Seoung-Hyun Lee,1,17,2,2,17,6,5,8,2,0,60
Javad Davari,13,25,9,5,0,0,2,6,2,2,64
Timur Sultanov,8,6,1,4,0,0,1,1,2,0,23
Dmitriy Klimov,3,20,14,1,2,5,13,7,3,1,69
Maxim Smirnov,0,2,0,0,2,3,6,2,0,0,15
Zaid Abbaas,3,20,11,11,9,15,5,17,2,0,93
Alex Legion,36,20,18,11,1,0,1,4,11,3,105
Osama Daghles,42,5,9,7,6,0,1,4,2,2,78
Mahd Abdeen,33,11,11,3,0,0,0,3,0,3,64
Wessam Al-Sous,83,25,16,5,0,0,0,7,12,9,157
John-Christopher Intal,2,13,7,0,0,0,1,2,1,0,26
Matthew Ganuelas-Rosser,1,6,10,1,0,0,2,4,1,1,26
Sheung-Ying So,1,3,1,0,0,0,0,0,0,0,5
Sani Sakakini,3,14,13,17,26,7,5,13,7,0,105
Imad Qahwash,34,12,24,15,0,0,0,5,1,2,93
Jamal Abu-Shamala,11,10,13,4,4,1,2,2,14,6,67
Ahmed Younis,0,7,0,0,0,0,1,1,0,0,9
Ahmed Haroon,1,9,5,0,1,0,0,2,1,1,20
Hamza Yousef,0,2,1,0,1,1,3,5,0,0,13
Salim Sakakini,0,3,2,0,3,5,14,10,0,0,37
Jehad Othman Yaghmour,0,2,0,0,0,0,1,1,0,0,4
Jerry Johnson,100,6,10,9,0,0,1,3,1,3,133
Enar Odeh,0,0,0,0,0,0,0,0,0,0,0
Shadi Khatib,0,1,0,0,0,0,0,0,0,0,1
Sami Owda,1,0,0,0,0,0,1,0,0,0,2
Mohammed Hassanzadeh,0,0,4,0,1,0,2,3,0,0,10
Wei-Long Wong,6,1,0,5,0,0,0,0,0,0,12
Hanbin Ng,7,9,2,4,0,1,0,1,3,0,27
Wei-Jie Desmond Oh,2,1,3,2,0,0,0,1,0,0,9
Kok-Chang Delvin Goh,0,4,0,3,1,0,2,4,0,0,14
Wei-Meng Kwek,1,4,1,0,3,1,3,4,0,0,17
Shengyu Lim,1,7,2,0,1,1,3,1,2,0,18
John Jing-Lun Ng,0,2,0,0,0,0,0,0,0,0,2
Qing-Huang Toh,4,0,1,0,0,0,0,0,1,0,6
Kelvin Hong-Da Lim,1,1,0,1,0,0,1,3,0,0,7
Chin-Hong Tan,0,1,1,1,0,0,1,0,0,0,4
Shih-Nien Chen,3,1,1,0,0,0,0,0,0,0,5
Shih-Chieh Chen,37,14,18,9,0,0,5,6,3,4,96
Chih-Chieh Lin,58,29,22,27,1,0,1,5,16,8,167
Shun-Hsiang Chen,0,0,3,0,0,0,0,0,1,0,4
Lei Tien,2,42,19,8,2,4,9,8,11,1,106
Hamad Hasan,9,1,2,1,4,0,1,1,1,0,20
Yousiff Borhamah,4,1,0,6,2,2,0,4,0,0,19
Abdulrahman Aljumah,1,9,2,2,1,4,1,4,0,0,24
Abdulaziz Alhamidi,4,8,3,4,0,0,2,0,1,1,23
Abdullah Alsaeid,8,10,2,2,0,0,0,0,1,0,23
Mashari Abu Dhom,12,7,2,5,0,0,0,0,0,0,26
Abdulrahman Alshammari,1,5,3,7,1,0,6,4,0,1,28
Mashari Alshammari,1,3,5,0,0,0,0,2,0,0,11
Wei-Hong Choo,2,17,5,5,4,1,2,1,2,1,40
Chee-Kheun Ma,5,9,7,3,1,0,1,0,1,1,28
Lok-Seng Mak,0,0,5,1,1,0,6,4,0,1,18
Wen Keong Tong,15,4,3,5,0,0,0,1,0,2,30
Yoong-Jing Kwaan,0,9,2,4,4,3,4,1,0,1,28
Kok-Hou Teo,1,2,1,2,0,0,0,0,0,0,6
Eng-Heng Soo,5,2,3,2,0,0,1,0,0,1,14
Liang-Chuan Yek,1,1,1,1,0,0,1,1,0,0,6
Siik-Yang Soon,0,0,1,1,0,0,0,2,0,0,4
Mohammad Samad Nikkah Bahrami,138,29,32,28,5,0,10,8,9,11,270
Chih-Shan Hung,18,15,9,1,0,0,0,3,3,1,50
Siu Wing Chan,27,10,8,5,0,0,2,5,2,9,68
Kam Hing Cheng,0,0,2,2,0,0,1,0,0,0,5
Ho Chun Lin,1,2,2,1,0,0,1,0,0,0,7
Wai Kit Szeto,0,1,0,0,6,1,0,1,0,0,9
Wai Kong Au-Yeung,0,4,1,0,0,0,0,1,0,0,6
Chun Wai Wong,0,26,9,1,9,5,6,5,4,0,65
Shiu Wah Leung,0,0,1,0,0,0,2,0,0,1,4
Hoi To Lau,1,1,0,0,1,0,0,0,0,0,3
Sheung Ying So,0,2,1,0,0,0,0,0,0,0,3
Tian-Yuan Kuek,0,2,0,0,0,0,0,0,0,0,2
Jasmon Jovan Youngblood,15,3,2,8,0,0,0,0,0,1,29
Jean Abd el Nour,5,2,2,1,0,0,0,1,0,1,12
Wei Long Wong,5,1,0,13,0,0,2,0,0,0,21
