,FIBA_P&R Ball Handler,FIBA_Spot-Up,FIBA_Transition,FIBA_ISO,FIBA_Post-Up,FIBA_P&R Roll Man,FIBA_Cut,FIBA_Offensive Rebound,FIBA_Off Screen,FIBA_Hand Off,FIBA_Cluster,INTL_P&R Ball Handler,INTL_Spot-Up,INTL_Transition,INTL_ISO,INTL_Post-Up,INTL_P&R Roll Man,INTL_Cut,INTL_Offensive Rebound,INTL_Off Screen,INTL_Hand Off,INTL_Cluster,NBA_P&R Ball Handler,NBA_Spot-Up,NBA_Transition,NBA_ISO,NBA_Post-Up,NBA_P&R Roll Man,NBA_Cut,NBA_Offensive Rebound,NBA_Off Screen,NBA_Hand Off,NBA_Cluster
5866,234,45,17,19,0,0,1,13,5,12,2,,,,,,,,,,,,,,,,,,,,,,
7276,168,30,32,76,1,0,8,11,7,12,2,,,,,,,,,,,,,,,,,,,,,,
6132,24,129,32,33,33,22,11,22,31,7,4,,,,,,,,,,,,,,,,,,,,,,
6815,174,39,60,39,2,0,2,18,3,7,2,,,,,,,,,,,,,,,,,,,,,,
5969,170,55,50,16,0,0,0,14,14,24,1,,,,,,,,,,,,,,,,,,,,,,
7280,19,119,32,25,40,3,30,44,21,10,4,,,,,,,,,,,,,,,,,,,,,,
6538,194,26,55,46,0,0,4,6,4,6,2,,,,,,,,,,,,,,,,,,,,,,
7146,131,65,37,33,15,0,8,31,7,14,1,,,,,,,,,,,,,,,,,,,,,,
7540,168,57,19,17,0,0,7,9,36,25,1,,,,,,,,,,,,,,,,,,,,,,
5933,1,57,40,29,104,22,55,18,8,1,0,,,,,,,,,,,,,,,,,,,,,,
5812,107,46,42,25,0,0,26,9,66,13,1,,,,,,,,,,,,,,,,,,,,,,
7471,158,59,32,51,1,0,7,9,14,3,1,,,,,,,,,,,,,,,,,,,,,,
5953,4,46,30,11,43,61,70,66,1,1,3,,,,,,,,,,,,,,,,,,,,,,
5899,34,119,46,19,54,14,2,9,28,4,4,,,,,,,,,,,,,,,,,,,,,,
7293,203,23,35,39,1,0,1,13,6,8,2,,,,,,,,,,,,,,,,,,,,,,
6934,117,41,62,78,0,1,7,7,4,11,1,,,,,,,,,,,,,,,,,,,,,,
5837,152,62,48,16,0,0,14,25,3,7,1,,,,,,,,,,,,,,,,,,,,,,
5815,172,46,26,30,1,2,5,16,9,19,2,,,,,,,,,,,,,,,,,,,,,,
7947,132,74,37,18,12,0,17,29,1,6,1,,,,,,,,,,,,,,,,,,,,,,
5910,143,69,33,16,0,0,2,9,41,11,1,,,,,,,,,,,,,,,,,,,,,,
7299,127,82,36,15,0,1,1,0,38,24,1,,,,,,,,,,,,,,,,,,,,,,
5989,0,49,10,4,131,57,21,43,5,0,5,,,,,,,,,,,,,,,,,,,,,,
7275,133,57,26,45,28,0,9,10,6,5,1,,,,,,,,,,,,,,,,,,,,,,
7461,11,46,52,34,93,17,23,25,17,1,0,,,,,,,,,,,,,,,,,,,,,,
6001,142,40,77,27,1,1,5,11,7,5,1,,,,,,,,,,,,,,,,,,,,,,
5915,138,30,63,17,14,0,11,19,6,17,1,,,,,,,,,,,,,,,,,,,,,,
6589,156,62,16,24,0,0,7,8,27,15,1,,,,,,,,,,,,,,,,,,,,,,
7960,2,118,61,23,41,14,15,19,18,3,4,,,,,,,,,,,,,,,,,,,,,,
6020,118,79,35,21,7,1,13,15,14,10,1,,,,,,,,,,,,,,,,,,,,,,
7742,115,69,23,33,13,2,8,20,24,5,1,,,,,,,,,,,,,,,,,,,,,,
5926,155,64,41,17,11,1,12,6,2,2,1,,,,,,,,,,,,,,,,,,,,,,
6181,150,44,67,33,0,0,3,9,3,2,1,,,,,,,,,,,,,,,,,,,,,,
7175,161,50,33,30,1,0,3,16,8,9,2,,,,,,,,,,,,,,,,,,,,,,
7511,197,22,32,21,12,0,7,6,6,6,2,,,,,,,,,,,,,,,,,,,,,,
6098,145,42,28,29,7,0,13,9,26,9,1,,,,,,,,,,,,,,,,,,,,,,
8166,223,17,11,21,0,0,1,6,12,15,2,,,,,,,,,,,,,,,,,,,,,,
7285,173,71,15,12,1,0,2,9,6,16,2,,,,,,,,,,,,,,,,,,,,,,
5981,141,53,43,9,0,0,8,15,32,3,1,,,,,,,,,,,,,,,,,,,,,,
8178,187,39,20,23,1,0,8,18,2,6,2,,,,,,,,,,,,,,,,,,,,,,
5901,145,50,40,19,2,0,5,15,15,10,1,,,,,,,,,,,,,,,,,,,,,,
6184,159,21,43,25,9,2,5,15,11,10,2,,,,,,,,,,,,,,,,,,,,,,
7136,150,65,20,30,0,0,1,5,9,18,1,,,,,,,,,,,,,,,,,,,,,,
5798,1,2,34,0,40,56,110,53,0,0,3,,,,,,,,,,,,,,,,,,,,,,
6771,181,55,21,14,1,0,0,10,9,5,2,,,,,,,,,,,,,,,,,,,,,,
6819,107,65,52,16,1,1,1,4,27,17,1,,,,,,,,,,,,,,,,,,,,,,
6430,124,74,31,12,0,0,9,16,12,12,1,,,,,,,,,,,,,,,,,,,,,,
6880,28,100,33,27,23,6,21,15,35,2,4,,,,,,,,,,,,,,,,,,,,,,
5883,82,58,42,16,0,0,4,10,63,13,6,,,,,,,,,,,,,,,,,,,,,,
